Issue type,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Best practice,How to fix this issue,Issue link,Timestamp,Issue status
autocomplete-valid,moderate,"input#file:text-foreground.selection:bg-primary.selection:text-primary-foreground.dark:bg-input/30.flex.h-9.w-full.min-w-0.border.text-base.transition-[color,box-shadow].outline-none.file:inline-flex.file:h-7.file:border-0.file:bg-transparent.file:text-sm.file:font-medium.disabled:pointer-events-none.disabled:cursor-not-allowed.disabled:opacity-50.md:text-sm.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.bg-[#393E46].border-[#393E46].text-[#EEEEEE].placeholder:text-[#EEEEEE]/60.focus:border-[#00ADB5].focus:ring-[#00ADB5]/20.rounded-full.py-3.px-6",,Ensure that the necessary form fields use the autocomplete attribute with a valid input.,https://ecommercebs.vercel.app/,SC 1.3.5,"<input type=""email"" data-slot=""input"" class=""file:text-foreground selection:bg-primary selection:text-primary-foreground dark:bg-input/30 flex h-9 w-full min-w-0 border text-base transition-[color,box-shadow] outline-none file:inline-flex file:h-7 file:border-0 file:bg-transparent file:text-sm file:font-medium disabled:pointer-events-none disabled:cursor-not-allowed disabled:opacity-50 md:text-sm focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive bg-[#393E46] border-[#393E46] text-[#EEEEEE] placeholder:text-[#EEEEEE]/60 focus:border-[#00ADB5] focus:ring-[#00ADB5]/20 rounded-full py-3 px-6"" placeholder=""Enter your email address"" required="""" value="""">",.placeholder\:text-\[\#EEEEEE\]\/60,False,False,"Fix all of the following:
  Add autocomplete attribute to form fields with a valid value as per HTML specification : https://html.spec.whatwg.org/#autofill-detail-tokens. In ""name"" attribute of field, prefer to use standard autocomplete value since browsers use ""name"" to suggest autofill. For field with no standard autocomplete value (eg: College ID), prefer to use autocomplete=""off"".",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21232&activeComponentId=input%23file%3Atext-foreground.selection%3Abg-primary.selection%3Atext-primary-foreground.dark%3Abg-input%2F30.flex.h-9.w-full.min-w-0.border.text-base.transition-%5Bcolor%2Cbox-shadow%5D.outline-none.file%3Ainline-flex.file%3Ah-7.file%3Aborder-0.file%3Abg-transparent.file%3Atext-sm.file%3Afont-medium.disabled%3Apointer-events-none.disabled%3Acursor-not-allowed.disabled%3Aopacity-50.md%3Atext-sm.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.bg-%5B%23393E46%5D.border-%5B%23393E46%5D.text-%5B%23EEEEEE%5D.placeholder%3Atext-%5B%23EEEEEE%5D%2F60.focus%3Aborder-%5B%2300ADB5%5D.focus%3Aring-%5B%2300ADB5%5D%2F20.rounded-full.py-3.px-6&activeBehaviorValue=&activeIssueId=799562088,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#inline-flex.items-center.justify-center.whitespace-nowrap.font-medium.transition-all.disabled:pointer-events-none.disabled:opacity-50.[&amp;_svg]:pointer-events-none.[&amp;_svg:not([class*=,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button data-slot=""button"" class=""inline-flex items-center justify-center whitespace-nowrap font-medium transition-all disabled:pointer-events-none disabled:opacity-50 [&amp;_svg]:pointer-events-none [&amp;_svg:not([class*='size-'])]:size-4 shrink-0 [&amp;_svg]:shrink-0 outline-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive dark:hover:bg-accent/50 gap-1.5 has-[>",".text-card-foreground.hover\:modern-shadow-xl.duration-500:nth-child(2) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .overflow-hidden.relative > .right-3.opacity-0.group-hover\:opacity-100 > .bg-white\/95.w-8.hover\:bg-white",False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23inline-flex.items-center.justify-center.whitespace-nowrap.font-medium.transition-all.disabled%3Apointer-events-none.disabled%3Aopacity-50.%5B%26amp%3B_svg%5D%3Apointer-events-none.%5B%26amp%3B_svg%3Anot%28%5Bclass%2A%3D&activeBehaviorValue=&activeIssueId=799562089,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.disabled:pointer-events-none.disabled:opacity-50.[&amp;_svg]:pointer-events-none.[&amp;_svg:not([class*=,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button data-slot=""button"" class=""inline-flex items-center justify-center whitespace-nowrap text-sm font-medium disabled:pointer-events-none disabled:opacity-50 [&amp;_svg]:pointer-events-none [&amp;_svg:not([class*='size-'])]:size-4 shrink-0 [&amp;_svg]:shrink-0 outline-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive dark:hover:bg-accent/50 h-8 gap-1.5 has-[>",.p-2.h-8.hover\:bg-\[\#00ADB5\]\/10:nth-child(2),False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.disabled%3Apointer-events-none.disabled%3Aopacity-50.%5B%26amp%3B_svg%5D%3Apointer-events-none.%5B%26amp%3B_svg%3Anot%28%5Bclass%2A%3D&activeBehaviorValue=&activeIssueId=799562090,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#peer.data-[state=checked]:bg-primary.data-[state=unchecked]:bg-switch-background.focus-visible:border-ring.focus-visible:ring-ring/50.dark:data-[state=unchecked]:bg-input/80.inline-flex.h-[1.15rem].w-8.shrink-0.items-center.rounded-full.border.border-transparent.transition-all.outline-none.focus-visible:ring-[3px].disabled:cursor-not-allowed.disabled:opacity-50,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button type=""button"" role=""switch"" aria-checked=""false"" data-state=""unchecked"" value=""on"" data-slot=""switch"" class=""peer data-[state=checked]:bg-primary data-[state=unchecked]:bg-switch-background focus-visible:border-ring focus-visible:ring-ring/50 dark:data-[state=unchecked]:bg-input/80 inline-flex h-[1.15rem] w-8 shrink-0 items-center rounded-full border border-transparent transition-all outline-none focus-visible:ring-[3px] disabled:cursor-not-allowed disabled:opacity-50"" id=""test-mode-switch"">",#test-mode-switch,False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23peer.data-%5Bstate%3Dchecked%5D%3Abg-primary.data-%5Bstate%3Dunchecked%5D%3Abg-switch-background.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.dark%3Adata-%5Bstate%3Dunchecked%5D%3Abg-input%2F80.inline-flex.h-%5B1.15rem%5D.w-8.shrink-0.items-center.rounded-full.border.border-transparent.transition-all.outline-none.focus-visible%3Aring-%5B3px%5D.disabled%3Acursor-not-allowed.disabled%3Aopacity-50&activeBehaviorValue=&activeIssueId=799562091,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.disabled:pointer-events-none.disabled:opacity-50.[&amp;_svg]:pointer-events-none.[&amp;_svg:not([class*=,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button data-slot=""button"" class=""inline-flex items-center justify-center whitespace-nowrap text-sm font-medium disabled:pointer-events-none disabled:opacity-50 [&amp;_svg]:pointer-events-none [&amp;_svg:not([class*='size-'])]:size-4 shrink-0 [&amp;_svg]:shrink-0 outline-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive dark:hover:bg-accent/50 h-8 gap-1.5 has-[>",.p-3.h-8.text-\[\#EEEEEE\]\/70:nth-child(1),False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.disabled%3Apointer-events-none.disabled%3Aopacity-50.%5B%26amp%3B_svg%5D%3Apointer-events-none.%5B%26amp%3B_svg%3Anot%28%5Bclass%2A%3D&activeBehaviorValue=&activeIssueId=799562092,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.transition-all.disabled:pointer-events-none.disabled:opacity-50.[&amp;_svg]:pointer-events-none.[&amp;_svg:not([class*=,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button data-slot=""button"" class=""inline-flex items-center justify-center whitespace-nowrap text-sm font-medium transition-all disabled:pointer-events-none disabled:opacity-50 [&amp;_svg]:pointer-events-none [&amp;_svg:not([class*='size-'])]:size-4 shrink-0 [&amp;_svg]:shrink-0 outline-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive dark:hover:bg-accent/50 gap-1.5 has-[>",.lg\:row-span-2 > .h-full.relative > .top-6.right-6.opacity-0 > .bg-white\/90.hover\:bg-white.w-12,False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.transition-all.disabled%3Apointer-events-none.disabled%3Aopacity-50.%5B%26amp%3B_svg%5D%3Apointer-events-none.%5B%26amp%3B_svg%3Anot%28%5Bclass%2A%3D&activeBehaviorValue=&activeIssueId=799562093,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#h-3.rounded-full.transition-all.duration-300.bg-[#00ADB5].w-8,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button class=""h-3 rounded-full transition-all duration-300 bg-[#00ADB5] w-8""></button>",.bg-\[\#00ADB5\].w-8.h-3,False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23h-3.rounded-full.transition-all.duration-300.bg-%5B%2300ADB5%5D.w-8&activeBehaviorValue=&activeIssueId=799562094,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.disabled:pointer-events-none.disabled:opacity-50.[&amp;_svg]:pointer-events-none.[&amp;_svg:not([class*=,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button data-slot=""button"" class=""inline-flex items-center justify-center whitespace-nowrap text-sm font-medium disabled:pointer-events-none disabled:opacity-50 [&amp;_svg]:pointer-events-none [&amp;_svg:not([class*='size-'])]:size-4 shrink-0 [&amp;_svg]:shrink-0 outline-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive dark:hover:bg-accent/50 h-8 gap-1.5 has-[>",.p-3.h-8.text-\[\#EEEEEE\]\/70:nth-child(2),False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23inline-flex.items-center.justify-center.whitespace-nowrap.text-sm.font-medium.disabled%3Apointer-events-none.disabled%3Aopacity-50.%5B%26amp%3B_svg%5D%3Apointer-events-none.%5B%26amp%3B_svg%3Anot%28%5Bclass%2A%3D&activeBehaviorValue=&activeIssueId=799562095,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#h-3.rounded-full.transition-all.duration-300.bg-[#393E46].w-3,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button class=""h-3 rounded-full transition-all duration-300 bg-[#393E46] w-3""></button>",.bg-\[\#393E46\].w-3.h-3:nth-child(3),False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23h-3.rounded-full.transition-all.duration-300.bg-%5B%23393E46%5D.w-3&activeBehaviorValue=&activeIssueId=799562096,2026-02-21 09:26:02 UTC,visible
button-name,critical,button#inline-flex.items-center.justify-center.whitespace-nowrap.font-medium.transition-all.disabled:pointer-events-none.disabled:opacity-50.[&amp;_svg]:pointer-events-none.[&amp;_svg:not([class*=,,Ensure buttons have discernible text,https://ecommercebs.vercel.app/,SC 4.1.2,"<button data-slot=""button"" class=""inline-flex items-center justify-center whitespace-nowrap font-medium transition-all disabled:pointer-events-none disabled:opacity-50 [&amp;_svg]:pointer-events-none [&amp;_svg:not([class*='size-'])]:size-4 shrink-0 [&amp;_svg]:shrink-0 outline-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive dark:hover:bg-accent/50 gap-1.5 has-[>",".text-card-foreground.hover\:modern-shadow-xl.duration-500:nth-child(3) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .overflow-hidden.relative > .right-3.opacity-0.group-hover\:opacity-100 > .bg-white\/95.w-8.hover\:bg-white",False,False,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element does not have an implicit (wrapped) <label>
  Element does not have an explicit <label>
  Element's default semantics were not overridden with role=""none"" or role=""presentation""",https://accessibility.browserstack.com/site-scanner/projects/ecommercebs.vercel.app-20/builds?thBuildId=mo28cckn80xi1zhiq8rxyp3fuj2bmrhdvledg7tu&recurring=true&tunnel_vision=false&id=ecommercebs.vercel.app-20&tab=ALLISSUES&activeViolationId=21235&activeComponentId=button%23inline-flex.items-center.justify-center.whitespace-nowrap.font-medium.transition-all.disabled%3Apointer-events-none.disabled%3Aopacity-50.%5B%26amp%3B_svg%5D%3Apointer-events-none.%5B%26amp%3B_svg%3Anot%28%5Bclass%2A%3D&activeBehaviorValue=&activeIssueId=799562097,2026-02-21 09:26:02 UTC,visible
