Issue type,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Best practice,How to fix,Timestamp,Issue link
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(7) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.gap-1.top-3 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:42Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=0&activeBehaviorValue=&activeIssueId=799591630
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(8) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.top-3.gap-1 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:35Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=1&activeBehaviorValue=&activeIssueId=799591631
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(10) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.top-3.gap-1 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:35Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=2&activeBehaviorValue=&activeIssueId=799591636
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(3) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.top-3.gap-1 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:35Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=3&activeBehaviorValue=&activeIssueId=799591638
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(14) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.gap-1.top-3 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:54:09Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=4&activeBehaviorValue=&activeIssueId=799591639
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(11) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.top-3.gap-1 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:35Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=5&activeBehaviorValue=&activeIssueId=799591642
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(28) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.gap-1.top-3 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:42Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=6&activeBehaviorValue=&activeIssueId=799591643
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(11) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.gap-1.top-3 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:42Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=7&activeBehaviorValue=&activeIssueId=799591645
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(3) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.gap-1.top-3 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:42Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=8&activeBehaviorValue=&activeIssueId=799591647
color-contrast,serious,"span#inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.[&amp;&gt;svg]:size-3.gap-1.[&amp;&gt;svg]:pointer-events-none.focus-visible:border-ring.focus-visible:ring-ring/50.focus-visible:ring-[3px].aria-invalid:ring-destructive/20.dark:aria-invalid:ring-destructive/40.aria-invalid:border-destructive.transition-[color,box-shadow].overflow-hidden.border-transparent.[a&amp;]:hover:bg-primary/90.bg-[#00ADB5].text-white.px-2.py-1.rounded-full.font-medium.text-xs",,Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds,https://ecommercebs.vercel.app/,SC 1.4.3,"<span data-slot=""badge"" class=""inline-flex items-center justify-center border w-fit whitespace-nowrap shrink-0 [&amp;&gt;svg]:size-3 gap-1 [&amp;&gt;svg]:pointer-events-none focus-visible:border-ring focus-visible:ring-ring/50 focus-visible:ring-[3px] aria-invalid:ring-destructive/20 dark:aria-invalid:ring-destructive/40 aria-invalid:border-destructive transition-[color,box-shadow] overflow-hidden border-transparent [a&amp;]:hover:bg-primary/90 bg-[#00ADB5] text-white px-2 py-1 rounded-full font-medium text-xs"">",".text-card-foreground.group.hover\:modern-shadow-xl:nth-child(1) > .\[\&\:last-child\]\:pb-6.p-0[data-slot=""card-content""] > .relative.overflow-hidden > .left-3.top-3.gap-1 > .w-fit.\[\&\>svg\]\:size-3.\[\&\>svg\]\:pointer-events-none",False,False,"Fix any of the following:
  Element has insufficient color contrast of 2.74 (foreground color: #ffffff, background color: #00adb5, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",2026-02-21T09:53:35Z,https://accessibility.browserstack.com/workflow-analyzer/report?ids=164645&activeTab=issues&activeReviewStatus=confirmed&activeViolationId=color-contrast&activeComponentId=span%23inline-flex.items-center.justify-center.border.w-fit.whitespace-nowrap.shrink-0.%5B%26amp%3B%26gt%3Bsvg%5D%3Asize-3.gap-1.%5B%26amp%3B%26gt%3Bsvg%5D%3Apointer-events-none.focus-visible%3Aborder-ring.focus-visible%3Aring-ring%2F50.focus-visible%3Aring-%5B3px%5D.aria-invalid%3Aring-destructive%2F20.dark%3Aaria-invalid%3Aring-destructive%2F40.aria-invalid%3Aborder-destructive.transition-%5Bcolor%2Cbox-shadow%5D.overflow-hidden.border-transparent.%5Ba%26amp%3B%5D%3Ahover%3Abg-primary%2F90.bg-%5B%2300ADB5%5D.text-white.px-2.py-1.rounded-full.font-medium.text-xs&isShowingIssue=true&activeIssueIndex=9&activeBehaviorValue=&activeIssueId=799591648
